tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,Y3kJjFePVC1CkcIS5dFsZvIFhKCgOrG6fQd7u_NlYz1DmUQ,번뜩이는 플레이,767,1119,1068,False,False,True,False
GRANDMASTER,Ff1186QFHWqv7qqz4J9xA5u8zmXqMMsBW6EBUFQ9RNHPXoU,enrage1,573,250,212,True,False,False,True
GRANDMASTER,nsF1e_iNEoiSZ3ktCwYbzsN8ixhhQEqv7Atfnh3WOdIXzoqt,쌍그모,572,205,170,True,False,False,True
GRANDMASTER,DL5vQvrbT30YAKPoHnyEa8D_zwfOwVErDBjYbR5oe2MYTDBnCnsd0GLcKg,xiatingchan,667,184,128,True,False,False,False
GRANDMASTER,B9q_q0EpF0aEtc1S_eGQsQP99cDGPOqIWJTAn1mLkSOtUA,듀오 강의 제드팀,547,510,473,True,False,False,False
GRANDMASTER,HHXvbntiXFilVycLfkRvdJi4vPSiAxEQjfO9yzWcaGy0gKo,97S,532,209,180,True,False,False,False
GRANDMASTER,nPcdfzudSo-MpKZuh1aVqnd1c9XtWpFLOZs7_32CdIYMOJA,애기야 안녕,474,329,285,False,False,True,True
GRANDMASTER,ciXeWk8kdSJ9GgBCF7HahaFbyei7YlVEmDPMVPNhNMYwdRAchVmXuqQEmQ,wojuedexing,487,394,332,False,False,False,False
GRANDMASTER,XMdNoh6suNqkvDkKfKgf0r-4Fguf2IQ0zwWtCAIRWqgWRVaDwMFK1g2v6g,1116660911,418,818,775,False,False,True,False
GRANDMASTER,_iUK4hjVni2r7QOcw8i2II55OLl4Em5arg_z5AZHz7FKLAQ,걸그룹노래맞추기,555,270,228,True,False,False,False
GRANDMASTER,b1An7pBClDZxIRpgqF8zpIabhYDD3CAzIRCufamMUKEowWo,물벼락,472,134,88,False,False,False,False
GRANDMASTER,6oy9L6sLMNK2t_dRLsMPip8inxZj8Yz0YE7MXrjZoi1cH4g,나는이겨야만한다,633,235,194,True,False,False,False
GRANDMASTER,4wa3j2MB7JsYcrNapNqUzN47c-SKcjlbyGIDm4mQV_m2jqb4-gvcuqTdGg,사신몬,488,358,312,False,False,False,False
GRANDMASTER,zV_HQebBpaTtPRfeweOfjnCXpF7Yv3NMS9Sgo5Ee0R6nTi0,Fzz gege,640,305,264,False,False,True,False
GRANDMASTER,RJOwX3Ica8orlb6sVrgacjvoOP7zmbfVwxjX4bK7FTvVZBc,KT R MID,505,1087,1041,False,False,False,False
GRANDMASTER,0uW85X7D9dx331C_1KA3MOKPkTi4FDUyi72WmQ9Rpaa0UZZaJhXZNXPQvg,Diabloi,502,569,534,False,False,False,False
GRANDMASTER,57oEVCEPjVp9kplQDdCGwpOVe8CrSxjfgqlV3AdiPDXrI7I,L J CHANG,536,761,728,True,False,False,False
GRANDMASTER,GdD6xzKf2PVe4KnlEPMxcgsnqLQrroxh2acVTXAbkKqxsUo,lure heart,418,239,207,True,False,False,False
GRANDMASTER,t-R0ET0Ja7EmkIEXATnCbxTjL4QC0n8dWJFmyNOe9Ru7-7bq,홍시샤베트,467,837,768,False,False,True,False
GRANDMASTER,nYcCQJZsjKT2aRywHYl8adw-8yQ0cVSP3EKyW8YEIaSGQr8,kfo,583,1244,1204,True,False,False,False
GRANDMASTER,BzpCv6MhuqkbdblbXK5Orsqqm792X1X57zlDXoTIMnPqtds,AF Le5,514,1029,997,False,False,False,False
GRANDMASTER,tGeSn2FS2hRq050rvFIjdT040Dxk1tROH3oduWqy2QoWr7BHc3QUbfMZ-Q,dangyadangyadang,690,733,668,False,False,False,True
GRANDMASTER,8vfphmP2jA4xWnbmmhAwgjZqMbkf6tg-aPNTkoXTLEM8Ru4,쉔드백,492,741,709,False,False,False,False
GRANDMASTER,P-mMv5SpTUx1A_YvwikImQExxc_TWW7nbnz0QHDycUPli8lH7j6wrbI9gQ,롤듀오 코코팀,484,175,142,False,False,False,False
GRANDMASTER,CcfrExudk59Csoinwdt1-_4jd03B2gpNoWxIcuB1mTLiNi8,im trash,420,366,331,False,False,True,False
GRANDMASTER,aKan12lJRJYX_m7ej_qODBU3UyKo1uilmVJeByR1vS1HBlD9ipy0VqSCbg,na li dou shi ni,536,848,794,False,False,True,False
GRANDMASTER,_88J0WPH1_8zD4TqpV7jCZHfFPAXzSNMPVb2kekhZtClNHM,HLE QFT,493,225,179,False,False,True,False
GRANDMASTER,VWOrRkVO2u4HYp1Fc7FiRRFKj0NWBNxxh38Y4YUz6uL4mPk,dalangcrash,432,182,139,False,False,True,False
GRANDMASTER,8dM3Hi8ZTygyChKGxR4clX8vwIqIi9_cGlHhRpcTq40Yp4cQDW8MwWl3XQ,langmanbusi,749,716,653,False,False,True,False
GRANDMASTER,YRsVaVeSLWGyKPZbNjGgOBh6ctg2xkE77rUJxAywfJpn3J8,H28G Turret,424,335,287,False,False,False,True
GRANDMASTER,vw2s9YGVBiGy3ddLBpRY9pmtaYVU8xYhzi1cJuCJfNnTiTPlGZLTk80Dmg,Factory,471,135,82,False,False,False,False
GRANDMASTER,si4zQqRxUTxZtWU2XhfA05g3n5f9MiSPpBuvlkewjFHUWZs,100gY,519,1202,1175,True,False,False,False
